customer_id,join_date_clean,location_clean,membership_tier_clean,membership_tier_code,age_clean,annual_income_capped,spending_score_clean
CUST-1000,2025-05-15,New York,Standard,1,56.0,54721.7379323254,31.829917629738127
CUST-1001,2025-02-14,San Francisco,Standard,1,69.0,29897.430670146652,31.829917629738127
CUST-1002,2025-07-11,New York,Vip,3,46.0,38912.02248346514,18.357696719044515
CUST-1003,2025-02-27,New York,Premium,2,32.0,40111.207308952144,2.6989490813432733
CUST-1004,2025-03-22,New York,Standard,1,60.0,56535.215238245,76.57307787738718
CUST-1005,2025-05-10,Chicago,Premium,2,25.0,48510.8607917798,80.88438472802717
CUST-1006,2025-06-10,Chicago,Standard,1,38.0,45112.26546345283,80.88438472802717
CUST-1007,2025-02-24,New York,Premium,2,56.0,55059.05956647104,47.00270748102153
CUST-1008,2025-01-20,San Francisco,Standard,1,36.0,62166.31149150291,65.32759458163358
CUST-1009,2025-05-26,San Francisco,Vip,3,42.0,51114.57032891664,5.757833495506339
CUST-1015,2025-04-26,New York,Premium,2,42.0,37753.11133758462,50.60294850761066
CUST-1016,2025-05-14,San Francisco,Premium,2,42.0,43369.958410645835,54.398367391606186
CUST-1017,2025-06-12,Chicago,Standard,1,39.0,66597.11283833874,68.71241317041597
CUST-1018,2025-05-14,Chicago,Standard,1,19.0,42972.58234975459,61.96926527460147
CUST-1019,2025-05-14,New York,Vip,3,41.0,75760.23578399018,94.44526885151495
CUST-1020,2025-02-19,San Francisco,Vip,3,42.0,76078.07958817281,94.48090811539157
CUST-1021,2025-03-26,San Francisco,Premium,2,47.0,75884.88630237855,86.85269442194537
CUST-1022,2025-05-23,Chicago,Standard,1,55.0,41790.38772205346,64.00395614715512
CUST-1023,2025-01-23,New York,Standard,1,19.0,56153.42422876857,80.29398017355757
CUST-1024,2025-01-22,San Francisco,Premium,2,38.0,47598.5127669501,68.03966589591519
CUST-1025,2025-05-13,San Francisco,Premium,2,50.0,68847.4391251293,57.763337125521396
CUST-1026,2025-06-10,Chicago,Vip,3,29.0,80599.07430517694,13.721534970157109
CUST-1027,2025-01-17,San Francisco,Vip,3,39.0,68103.84123453069,81.30921349686429
CUST-1028,2025-08-11,San Francisco,Vip,3,61.0,55137.16518610206,82.24330809865158
CUST-1029,2025-04-17,San Francisco,Standard,1,42.0,49516.910547511856,62.968027340055706
CUST-1030,2025-07-11,Chicago,Standard,1,66.0,64736.3009894366,82.22225753335555
CUST-1031,2025-06-12,Chicago,Vip,3,44.0,36656.896949870395,65.496992413921
CUST-1032,2025-03-27,New York,Vip,3,59.0,63045.04048573098,21.461751627797792
CUST-1033,2025-04-10,San Francisco,Vip,3,45.0,41279.63603108084,28.122151604792244
CUST-1034,2025-06-21,New York,Vip,3,33.0,64308.22323942603,22.244322851129038
CUST-1035,2025-05-26,San Francisco,Vip,3,32.0,52585.93934705405,38.34864923956961
CUST-1036,2025-08-24,New York,Premium,2,64.0,49176.034015350786,4.857350098713129
CUST-1037,2025-07-24,New York,Vip,3,68.0,55059.05956647104,62.207134549451396
CUST-1038,2025-05-23,New York,Premium,2,61.0,49648.82461347709,34.318867273983926
CUST-1039,2025-02-20,Chicago,Vip,3,69.0,63341.82697800948,65.91654090269347
CUST-1040,2025-03-16,San Francisco,Vip,3,20.0,70657.90916377987,39.15426547559094
CUST-1041,2025-06-11,New York,Vip,3,54.0,62896.72242002044,68.47975322830618
CUST-1042,2025-06-27,New York,Standard,1,68.0,75458.29786625659,34.72183237695976
CUST-1043,2025-02-27,New York,Premium,2,24.0,93087.44074403998,26.80875829535441
CUST-1044,2025-06-24,New York,Premium,2,38.0,50132.6356325666,50.10770797504721
CUST-1045,2025-03-11,New York,Vip,3,26.0,98272.90040269523,69.596145510502
CUST-1046,2025-04-15,New York,Premium,2,56.0,33399.37828474303,35.48532384086654
CUST-1047,2025-01-24,San Francisco,Vip,3,35.0,72860.9088417046,93.72816703371502
CUST-1048,2025-04-19,Chicago,Standard,1,21.0,74490.9522139673,4.879446340888979
CUST-1049,2025-03-26,Chicago,Premium,2,42.0,41992.8076592567,42.376657139842294
CUST-1050,2025-05-13,Chicago,Premium,2,31.0,64264.612682667175,96.7904746005045
CUST-1051,2025-02-26,Chicago,Premium,2,67.0,73256.06195470165,55.24921644156065
CUST-1052,2025-02-26,New York,Premium,2,26.0,58394.324042483124,42.923623288503734
CUST-1053,2025-04-14,San Francisco,Vip,3,43.0,67711.02148864958,57.28350809124588
CUST-1054,2025-02-15,San Francisco,Vip,3,19.0,57622.49517987207,58.01653295055038
CUST-1055,2025-05-11,New York,Standard,1,37.0,36747.17661461141,73.43312777466438
CUST-1056,2025-05-20,San Francisco,Vip,3,45.0,70740.21088481299,13.641283212824094
CUST-1057,2025-03-25,Chicago,Vip,3,64.0,74876.58492271301,25.751628472394362
CUST-1058,2025-03-24,San Francisco,Premium,2,24.0,57014.488316075636,58.47385722204707
CUST-1059,2025-01-25,San Francisco,Vip,3,61.0,40682.54107057869,86.84454411376248
CUST-1060,2025-07-20,New York,Standard,1,25.0,43732.30863004107,56.62480252223359
CUST-1061,2025-06-25,New York,Standard,1,64.0,38043.57920319204,24.621089119243678
CUST-1062,2025-08-13,San Francisco,Premium,2,52.0,66549.6603989619,24.621089119243678
CUST-1063,2025-08-13,San Francisco,Standard,1,31.0,74025.84283605852,74.25096728429008
CUST-1064,2025-08-12,Chicago,Premium,2,34.0,61367.29366084676,24.585379087993964
CUST-1065,2025-08-12,New York,Vip,3,53.0,69108.03377443015,38.39515973145319
CUST-1066,2025-03-27,San Francisco,Premium,2,67.0,41985.38365030938,53.898419879525775
CUST-1067,2025-05-14,New York,Vip,3,42.0,55059.05956647104,50.15955787762469
CUST-1068,2025-02-19,New York,Vip,3,21.0,34451.934149255554,39.57219053570114
CUST-1069,2025-05-15,San Francisco,Standard,1,42.0,43423.28875760112,30.465882276421777
CUST-1070,2025-01-14,Chicago,Vip,3,23.0,68180.10322286343,10.898503829024474
CUST-1071,2025-01-21,New York,Premium,2,59.0,51406.082377092855,10.898503829024474
CUST-1072,2025-02-23,New York,Premium,2,21.0,73140.72956029951,95.89560819143664
CUST-1073,2025-02-26,San Francisco,Premium,2,46.0,57014.488316075636,84.86717126546338
CUST-1074,2025-06-22,San Francisco,Standard,1,42.0,57014.488316075636,36.13561385580934
CUST-1075,2025-03-18,San Francisco,Premium,2,43.0,56406.4814522792,95.72328762751918
CUST-1076,2025-02-24,San Francisco,Standard,1,61.0,33903.92099227677,68.00022053800602
CUST-1077,2025-01-24,San Francisco,Premium,2,51.0,57014.488316075636,48.769574014621604
CUST-1078,2025-08-20,San Francisco,Standard,1,27.0,40554.7656090081,49.80954011940869
CUST-1079,2025-07-25,San Francisco,Standard,1,42.0,69657.7000121961,9.245156708330704
CUST-1080,2025-05-26,San Francisco,Vip,3,31.0,57014.488316075636,10.078710578589627
CUST-1081,2025-02-13,San Francisco,Vip,3,48.0,52940.922743532756,60.64165166421078
CUST-1082,2025-01-17,San Francisco,Vip,3,65.0,53138.01416677511,55.81660218223428
CUST-1083,2025-01-12,New York,Vip,3,32.0,66105.11226921607,22.060061607398666
CUST-1084,2025-05-24,Chicago,Premium,2,25.0,64264.612682667175,94.67325974528734
CUST-1085,2025-07-23,Chicago,Premium,2,31.0,66655.74692355412,78.34830899664905
CUST-1086,2025-02-23,Chicago,Vip,3,40.0,70683.56752519475,12.232995599727353
CUST-1087,2025-08-11,San Francisco,Premium,2,57.0,49867.87431091928,93.16198146304197
CUST-1088,2025-05-23,San Francisco,Premium,2,38.0,98272.90040269523,97.45057264490661
CUST-1089,2025-03-16,New York,Standard,1,33.0,47305.52023546567,99.59719296100258
CUST-1090,2025-03-24,Chicago,Vip,3,62.0,65651.6386054593,6.5312443130576545
CUST-1091,2025-07-23,Chicago,Standard,1,35.0,64264.612682667175,73.96652012230987
CUST-1092,2025-03-24,San Francisco,Standard,1,64.0,64451.12407901511,55.04566124633391
